0,58400,Salaried,0,0,0
1,65550,Self employed,1,1,1
2,61360,Self employed,0,0,0
3,66113,Self employed,3,0,1
4,60300,Self employed,0,0,1
5,61900,Self employed,2,0,0
6,61500,Salaried,0,0,0
7,61900,Salaried,1,1,0
8,61973,Self employed,1,1,0
9,61300,Salaried,1,0,0
10,61230,Self employed,1,0,1
11,74190,Salaried,3,2,0
12,61330,Salaried,7,2,1
13,57010,Salaried,10,5,1
14,57080,Self employed,5,5,1
15,61400,Salaried,1,0,1
16,65750,Self employed,6,4,0
17,62100,Self employed,13,8,0
18,86760,Self employed,1,0,1
19,68500,Self employed,1,0,1
20,69650,Self employed,9,1,0
21,57110,Salaried,7,5,0
22,78256,Self employed,0,0,0
23,61900,Self employed,1,1,0
24,92900,Self employed,0,0,0
25,68600,Salaried,0,0,0
26,61780,Self employed,0,0,1
27,68040,Self employed,0,0,1
28,65750,Self employed,1,0,1
29,61900,Self employed,5,3,0
30,60300,Self employed,5,3,0
31,69518,Salaried,0,0,0
32,70100,Salaried,7,3,0
33,60630,Self employed,0,0,0
34,58300,Self employed,0,0,0
35,64280,Self employed,1,0,1
36,63930,Self employed,9,6,1
37,65838,Self employed,13,3,0
38,63100,Self employed,4,3,0
39,58400,Salaried,0,0,1
